48,-161,1011,73,-44,45,Still
50,-158,1014,73,-44,45,Still
50,-161,1014,73,-44,90,Still
51,-167,1014,106,-44,45,Still
48,-158,1014,106,-44,45,Still
47,-153,1008,90,-44,90,Still
42,-156,1023,106,-61,90,Still
48,-146,1017,90,-44,90,Still
56,-147,1023,90,-44,90,Still
59,-164,1035,123,-28,90,Still
51,-144,1047,189,36,90,Still
24,-116,1041,222,101,181,Still
-16,-98,1022,205,101,181,Still
-61,-60,966,106,20,181,Still
-60,-42,1029,90,-28,135,Still
-58,-47,1025,106,-28,90,Still
-57,-65,1022,106,-44,45,Still
-58,-65,1031,90,-28,90,Still
-67,-74,1020,73,-44,45,Still
-63,-68,1026,73,-61,90,Still
-78,-90,1038,90,-44,0,Still
-76,-83,1037,123,-28,90,Still
-52,-53,1005,90,-12,135,Still
-66,-53,1016,73,-77,90,Still
-67,-59,1035,73,-61,45,Still
-67,-63,1019,73,-61,45,Still
-66,-65,1025,73,-61,90,Still
-66,-71,1040,90,-44,90,Still
-67,-63,1022,90,-44,90,Still
116,-20,1014,73,-77,45,Still
111,-20,1017,73,-77,45,Still
116,-20,1016,57,-77,90,Still
116,-26,1020,73,-77,90,Still
117,-24,1016,57,-93,135,Still
120,-24,1013,24,-93,0,Still
116,-24,1013,106,-61,45,Still
114,-26,1016,73,-77,45,Still
116,-29,1011,57,-77,90,Still
113,-23,1013,40,-110,0,Still
116,-29,1013,57,-110,-45,Still
114,-30,1014,73,-77,45,Still
111,-24,1004,73,-77,90,Still
122,-23,1022,73,-93,90,Still
110,-26,1011,73,-77,90,Still
111,-20,1014,40,-93,45,Still
120,-27,1014,73,-77,45,Still
122,-24,1020,73,-77,90,Still
108,-24,1014,73,-77,90,Still
114,-24,1014,40,-110,90,Still
113,-17,1011,57,-77,0,Still
113,-23,1017,57,-93,90,Still
117,-21,1014,73,-77,90,Still
120,-23,1016,73,-77,90,Still
110,-24,1023,73,-77,45,Still
117,-24,1014,40,-110,135,Still
113,-20,1013,73,-77,45,Still
116,-23,1014,73,-77,90,Still
114,-26,1013,73,-77,90,Still
113,-20,1013,40,-110,135,Still
114,-24,1014,57,-77,45,Still
110,-26,1013,57,-77,90,Still
113,-21,1014,57,-77,90,Still
111,-20,1014,73,-77,90,Still
117,-15,1014,73,-77,90,Still
116,-20,1016,73,-77,90,Still
117,-20,1013,73,-77,90,Still
113,-15,1013,73,-77,90,Still
117,-24,1014,73,-77,45,Still
116,-21,1016,73,-77,90,Still
110,-18,1011,57,-93,0,Still
113,-20,1013,57,-77,90,Still
114,-17,1014,57,-110,0,Still
113,-23,1013,73,-77,90,Still
113,-21,1014,73,-77,45,Still
113,-20,1013,57,-77,135,Still
114,-20,1014,73,-77,90,Still
114,-21,1014,57,-93,90,Still
117,-8,1014,73,-77,90,Still
117,-24,1011,90,-61,135,Still
114,-20,1011,57,-77,0,Still
117,-14,1014,73,-77,135,Still
110,-20,1014,73,-77,45,Still
111,-18,1017,73,-77,90,Still
114,-15,1017,73,-77,90,Still
83,-74,1019,57,-93,-45,Still
